MOTIF TF Family
HESX1_1 HESX1 HESX
HESX1_2 HESX1 HESX
HEY1_1 HEY1 HEY
HEY1_disc1 HEY1 HEY
HEY1_disc2 HEY1 HEY
HEY2_1 HEY2 HEY
HEY2_2 HEY2 HEY
HF1H3B_1 HF1H3B HF1H3B
HIC1_1 HIC1 HIC
HIC1_2 HIC1 HIC
HIC1_3 HIC1 HIC
HIC1_4 HIC1 HIC
HIC1_5 HIC1 HIC
HIC2_1 HIC2 HIC
HIF1A_1 HIF1A HIF1A
HIF1A_2 HIF1A HIF1A
HIF1A::ARNT_1 HIF1A::ARNT HIF1A::ARNT
HINFP_1 HINFP HINFP
HINFP_2 HINFP HINFP
HINFP_3 HINFP HINFP
HINFP_4 HINFP HINFP
HLF_1 HLF HLF
HLF_2 HLF HLF
HLF_3 HLF HLF
HLF_4 HLF HLF
HLTF_1 HLTF HLTF
HLX_1 HLX HLX
HMBOX1_1 HMBOX1 HMBOX
HMBOX1_2 HMBOX1 HMBOX
HMGA1_1 HMGA1 HMGA
HMGA1_2 HMGA1 HMGA
HMGN3_disc1 HMGN3 HMGN
HMGN3_disc2 HMGN3 HMGN
HMX1_1 HMX1 HMX
HMX1_2 HMX1 HMX
HMX2_1 HMX2 HMX
HMX2_2 HMX2 HMX
HMX3_1 HMX3 HMX
HMX3_2 HMX3 HMX
HMX3_3 HMX3 HMX
HNF1_1 HNF1 HNF
HNF1_2 HNF1 HNF
HNF1_3 HNF1 HNF
HNF1_4 HNF1 HNF
HNF1A_1 HNF1A HNF
HNF1A_2 HNF1A HNF
HNF1A_3 HNF1A HNF
HNF1A_4 HNF1A HNF
HNF1B_1 HNF1B HNF
HNF1B_2 HNF1B HNF
HNF1B_3 HNF1B HNF
HNF1B_4 HNF1B HNF
HNF4_1 HNF4 HNF
HNF4_2 HNF4 HNF
HNF4_3 HNF4 HNF
HNF4_4 HNF4 HNF
HNF4_5 HNF4 HNF
HNF4_6 HNF4 HNF
HNF4_disc1 HNF4 HNF
HNF4_disc2 HNF4 HNF
HNF4_disc3 HNF4 HNF
HNF4_disc4 HNF4 HNF
HNF4_disc5 HNF4 HNF
HNF4A_1 HNF4A HNF
HNF4A_10 HNF4A HNF
HNF4A_11 HNF4A HNF
HNF4A_12 HNF4A HNF
HNF4A_13 HNF4A HNF
HNF4A_14 HNF4A HNF
HNF4A_15 HNF4A HNF
HNF4A_2 HNF4A HNF
HNF4A_3 HNF4A HNF
HNF4A_4 HNF4A HNF
HNF4A_5 HNF4A HNF
HNF4A_6 HNF4A HNF
HNF4A_7 HNF4A HNF
HNF4A_8 HNF4A HNF
HNF4A_9 HNF4A HNF
HOMEZ_1 HOMEZ HOMEZ
HOMEZ_2 HOMEZ HOMEZ
HOXA1_1 HOXA1 HOX
HOXA1_2 HOXA1 HOX
HOXA10_1 HOXA10 HOX
HOXA10_2 HOXA10 HOX
HOXA10_3 HOXA10 HOX
HOXA11_1 HOXA11 HOX
HOXA11_2 HOXA11 HOX
HOXA11_3 HOXA11 HOX
HOXA13_1 HOXA13 HOX
HOXA13_2 HOXA13 HOX
HOXA13_3 HOXA13 HOX
HOXA13_4 HOXA13 HOX
HOXA13_5 HOXA13 HOX
HOXA2_1 HOXA2 HOX
HOXA2_2 HOXA2 HOX
HOXA2_3 HOXA2 HOX
HOXA3_1 HOXA3 HOX
HOXA3_2 HOXA3 HOX
HOXA3_3 HOXA3 HOX
HOXA4_1 HOXA4 HOX
HOXA4_2 HOXA4 HOX
HOXA5_1 HOXA5 HOX
HOXA5_2 HOXA5 HOX
HOXA5_3 HOXA5 HOX
HOXA6_1 HOXA6 HOX
HOXA7_1 HOXA7 HOX
HOXA7_2 HOXA7 HOX
